File ID,ROMDir,Dir,File,Armor,Race,Slot,Model ID
23687,Rom,217,98.dat,Argute Gown (SCH AF2),Mithra,Body,215
23688,Rom,248,102.dat,Juogi,Mithra,Body,216
23689,Rom,52,14.dat,Leather Vest,Mithra,Body,217
23690,Rom,199,18.dat,Bastokan Armor,Mithra,Body,218
23691,Rom,196,97.dat,Cobra Unit Harness,Mithra,Body,219
23692,Rom,200,100.dat,Cobra Unit Coat,Mithra,Body,220
23693,Rom,201,45.dat,Iron Ram Hauberk,Mithra,Body,221
23694,Rom,199,19.dat,Fourth Division Brunne,Mithra,Body,222
23695,Rom,248,103.dat,Augur's Jaseran,Mithra,Body,223
23696,Rom,52,14.dat,Leather Vest,Mithra,Body,224
23697,Rom,204,74.dat,Savage Top,Mithra,Body,225
23698,Rom,52,14.dat,Leather Vest,Mithra,Body,226
23699,Rom,207,47.dat,Hachiryu Haramaki,Mithra,Body,227
23700,Rom,214,120.dat,Tidal Talisman,Mithra,Body,228
23701,Rom,214,121.dat,Eerie Cloak,Mithra,Body,229
23702,Rom,239,4.dat,Dinner Jacket,Mithra,Body,230
23703,Rom,239,5.dat,Nocturnus Mail,Mithra,Body,231
23704,Rom,52,14.dat,Leather Vest,Mithra,Body,232
23705,Rom,265,119.dat,Himegami Yukata,Mithra,Body,233
23706,Rom,248,104.dat,Loki's Kaftan,Mithra,Body,234
23707,Rom,52,14.dat,Leather Vest,Mithra,Body,235
23708,Rom,221,57.dat,Nuevo Coselete,Mithra,Body,236
23709,Rom,221,86.dat,Mirke Wardecors,Mithra,Body,237
23710,Rom,221,58.dat,Royal Redingote,Mithra,Body,238
23711,Rom,248,105.dat,Perle Hauberk,Mithra,Body,239
23712,Rom,248,106.dat,Teal Saio,Mithra,Body,240
23713,Rom,248,107.dat,Aurore Doublet,Mithra,Body,241
23715,Rom,52,14.dat,Leather Vest,Mithra,Body,243
23716,Rom,223,51.dat,Otokogusa Yukata,Mithra,Body,244
23717,Rom,264,4.dat,Novennial Dress,Mithra,Body,245
23718,Rom,230,41.dat,Ebon Harness,Mithra,Body,246
23719,Rom,230,42.dat,Furia Harness,Mithra,Body,247
23720,Rom,230,43.dat,Ebur Harness,Mithra,Body,248
23721,Rom,230,44.dat,Ebon Jerkin,Mithra,Body,249
23722,Rom,230,45.dat,Furia Jerkin,Mithra,Body,250
23723,Rom,230,46.dat,Ebur Jerkin,Mithra,Body,251
23724,Rom,230,47.dat,Shikkoku Togi,Mithra,Body,252
23725,Rom,230,48.dat,Shinku Togi,Mithra,Body,253
23726,Rom,230,49.dat,Ginhaku Togi,Mithra,Body,254
23727,Rom,230,50.dat,Ebon Vest,Mithra,Body,255
32739,Rom,72,94.dat,Poroggo Cassock,Mithra,Body,9267
65627,Rom,230,83.dat,Furia Vest,Mithra,Body,256
65628,Rom,230,84.dat,Ebur Vest,Mithra,Body,257
65629,Rom,234,5.dat,Ebon Talar,Mithra,Body,258
65630,Rom,234,6.dat,Furia Talar,Mithra,Body,259
65631,Rom,234,7.dat,Ebur Talar,Mithra,Body,260
65632,Rom,234,8.dat,Ebon Coat,Mithra,Body,261
65633,Rom,234,9.dat,Furia Coat,Mithra,Body,262
65634,Rom,234,10.dat,Ebur Coat,Mithra,Body,263
65635,Rom,234,11.dat,Ebon Bliaut,Mithra,Body,264
65636,Rom,234,12.dat,Furia Bliaut,Mithra,Body,265
65637,Rom,234,13.dat,Ebur Bliaut,Mithra,Body,266
65638,Rom,234,14.dat,Ebon Frock,Mithra,Body,267
65639,Rom,234,15.dat,Furia Frock,Mithra,Body,268
65640,Rom,234,16.dat,Ebur Frock,Mithra,Body,269
65641,Rom,237,59.dat,Ebon Cuirass,Mithra,Body,270
65642,Rom,237,60.dat,Furia Cuirass,Mithra,Body,271
65643,Rom,237,61.dat,Ebur Cuirass,Mithra,Body,272
65644,Rom,237,62.dat,Ebon Mail,Mithra,Body,273
65645,Rom,237,63.dat,Furia Mail,Mithra,Body,274
65646,Rom,237,64.dat,Ebur Mail,Mithra,Body,275
65647,Rom,237,65.dat,Ebon Haubert,Mithra,Body,276
65648,Rom,237,66.dat,Furia Haubert,Mithra,Body,277
65649,Rom,237,67.dat,Ebur Haubert,Mithra,Body,278
65650,Rom,237,68.dat,Ebon Breastplate,Mithra,Body,279
65651,Rom,237,69.dat,Furia Breastplate,Mithra,Body,280
65652,Rom,237,70.dat,Ebur Breastplate,Mithra,Body,281
242 = nanna mihgo outfit (cute!)
65653,Rom,244,39.dat,Ravager's Lorica (WAR AF3),Mithra,Body,282
65654,Rom,253,27.dat,Tantra Cyclas (MNK AF3),Mithra,Body,283
65655,Rom,254,44.dat,Orison Bliaud (WHM AF3),Mithra,Body,284
65656,Rom,241,56.dat,Goetia Coat (BLM AF3),Mithra,Body,285
65657,Rom,244,40.dat,Estoqueur's Sayon (RDM AF3),Mithra,Body,286
65658,Rom,253,28.dat,Raider's Vest (THF AF3),Mithra,Body,287
65659,Rom,241,57.dat,Creed Cuirass (PLD AF3),Mithra,Body,288
65660,Rom,253,29.dat,Bale Cuirass (DRK AF3),Mithra,Body,289
65661,Rom,253,30.dat,Ferine Gausape (BST AF3),Mithra,Body,290
65662,Rom,253,31.dat,Aoidos' Hongreline (BRD AF3),Mithra,Body,291
65663,Rom,256,69.dat,Sylvan Caban (RNG AF3),Mithra,Body,292
65664,Rom,253,32.dat,Unkai Domaru (SAM AF3),Mithra,Body,293
65665,Rom,253,33.dat,Iga Ningi (NIN AF3),Mithra,Body,294
65666,Rom,253,34.dat,Lancer Plackart (DRG AF3),Mithra,Body,295
65667,Rom,256,70.dat,Caller's Doublet (SMN AF3),Mithra,Body,296
65668,Rom,253,35.dat,Mavi Mintan (BLU AF3),Mithra,Body,297
65669,Rom,253,36.dat,Navarch's Frac (COR AF3),Mithra,Body,298
65670,Rom,253,37.dat,Cirque Farsetto (PUP AF3),Mithra,Body,299
65671,Rom,266,31.dat,Ocelomeh Harness,Mithra,Body,300
65672,Rom,266,32.dat,Nefer Kalasiris,Mithra,Body,301
65673,Rom,266,33.dat,Mekira Toshugai,Mithra,Body,302
65674,Rom,267,21.dat,Mekira Meikogai,Mithra,Body,303
65675,Rom,218,13.dat,Etoile Casaque (DNC AF2),Mithra,Body,304
65676,Rom,254,105.dat,Charis Casaque (DNC AF3),Mithra,Body,305
65677,Rom,253,38.dat,Savant's Gown (SCH AF3),Mithra,Body,306
65678,Rom,286,47.dat,Moogle Suit,Mithra,Body,307
65679,Rom,291,110.dat, Geomancy tunic (GEO AF1),Mithra,Body,308
65680,Rom,289,117.dat, Chocobo Shirt,Mithra,Body,309
65681,Rom,305,17.dat, Bagua tunic (GEO AF2),Mithra,Body,310
65682,Rom,307,59.dat, Alliance Shirt,Mithra,Body,311
65683,Rom,52,14.dat,Leather Vest,Mithra,Body,312
65684,Rom,52,14.dat,Leather Vest,Mithra,Body,313
65685,Rom,52,14.dat,Leather Vest,Mithra,Body,314
65686,Rom,52,14.dat,Leather Vest,Mithra,Body,315
65687,Rom,52,14.dat,Leather Vest,Mithra,Body,316
65688,Rom,52,14.dat,Leather Vest,Mithra,Body,317
65689,Rom,52,14.dat,Leather Vest,Mithra,Body,318
65690,Rom,52,14.dat,Leather Vest,Mithra,Body,319
79183,Rom,278,42.dat,Kheper Jacket,Mithra,Body,320
79184,Rom,278,43.dat,Paean Bliaut,Mithra,Body,321
79185,Rom,278,44.dat,Auspex Doublet,Mithra,Body,322
79186,Rom,278,45.dat,Hrafn Haubert,Mithra,Body,323
79187,Rom,278,46.dat,Tenryu Domaru,Mithra,Body,324
79188,Rom,271,126.dat,Ogier's Surcoat,Mithra,Body,325
79189,Rom,271,127.dat,Athos's Tabard,Mithra,Body,326
79190,Rom,272,0.dat,Rubeus Jacket,Mithra,Body,327
79191,Rom,272,1.dat,Fulad-Zereh,Mithra,Body,328
79192,Rom,272,2.dat,Praeco Doublet,Mithra,Body,329
79193,Rom,278,47.dat,Tessera Saio,Mithra,Body,330
79194,Rom,52,14.dat,Leather Vest,Mithra,Body,331
79195,Rom,282,25.dat,Decennial Dress,Mithra,Body,332
79196,Rom,281,115.dat,Matanca harness,Mithra,Body,333
79197,Rom,281,116.dat,River Top,Mithra,Body,334
79198,Rom,52,14.dat,Leather Vest,Mithra,Body,335
79199,Rom,282,84.dat,Dux Scale Mail,Mithra,Body,336
79200,Rom,282,85.dat,Chelona Blazer,Mithra,Body,337
79201,Rom,292,81.dat, Runeist coat (RUN AF1),Mithra,Body,338
79202,Rom,306,2.dat, Futhark coat (RUN AF2),Mithra,Body,339
79203,Rom,52,14.dat,Leather Vest,Mithra,Body,340
79204,Rom,327,53.dat, Azimuth robe (GEO AF3),Mithra,Body,341
79205,Rom,291,10.dat, Karieyh Haubert,Mithra,Body,342
79206,Rom,291,11.dat, Thurandaut Tabard,Mithra,Body,343
79207,Rom,291,12.dat, Orvail Robe,Mithra,Body,344
79208,Rom,291,13.dat, Councilor's garb,Mithra,Body,345
79209,Rom,288,105.dat,Baalmuian Robe,Mithra,Body,346
79210,Rom,52,14.dat,Leather Vest,Mithra,Body,347
79211,Rom,291,14.dat, Morass tunic,Mithra,Body,348
79212,Rom,301,54.dat, Mikinaak Breastplate,Mithra,Body,349
79213,Rom,301,55.dat, Manibozho Jerkin,Mithra,Body,350
79214,Rom,301,56.dat, Bokwus Robe,Mithra,Body,351
79215,Rom,52,14.dat,Leather Vest,Mithra,Body,352
79216,Rom,304,53.dat, Chocobo Suit,Mithra,Body,353
79217,Rom,306,3.dat, Gorney Haubert,Mithra,Body,354
79218,Rom,306,4.dat, Shneddick Tabard,Mithra,Body,355
79219,Rom,306,5.dat, Weatherspoon Robe,Mithra,Body,356
79220,Rom,336,87.dat, Founder's breastplate,Mithra,Body,357
79221,Rom,52,14.dat,Leather Vest,Mithra,Body,358
79222,Rom,304,54.dat, Rustic Maillot,Mithra,Body,359
79223,Rom,314,21.dat, Purple Spriggan Coat,Mithra,Body,360
79224,Rom,310,98.dat, G. Spriggan Coat,Mithra,Body,361
79225,Rom,314,22.dat, Red Spriggan Coat,Mithra,Body,362
79226,Rom,312,92.dat, Qaaxo Harness,Mithra,Body,363
79227,Rom,312,93.dat, Artsieq Jubbah,Mithra,Body,364
79228,Rom,312,94.dat, Xaddi Mail,Mithra,Body,365
79229,Rom,52,14.dat,Leather Vest,Mithra,Body,366
79230,Rom,310,99.dat, Overalls,Mithra,Body,367
79231,Rom,52,14.dat,Leather Vest,Mithra,Body,368
79232,Rom,317,62.dat, Shokujo happi,Mithra,Body,369
79233,Rom,52,14.dat,Leather Vest,Mithra,Body,370
79234,Rom,315,89.dat, Erilaz surcoat (RUN AF3),Mithra,Body,371
79235,Rom,315,90.dat, Goblin Suit,Mithra,Body,372
79236,Rom,52,14.dat,Leather Vest,Mithra,Body,373
79237,Rom,52,14.dat,Leather Vest,Mithra,Body,374
79238,Rom,320,92.dat,Mekosuchinae Harness,Mithra,Body,375
79239,Rom,321,107.dat,Mandragora Suit,Mithra,Body,376
79240,Rom,52,14.dat,Leather Vest,Mithra,Body,377
79241,Rom,52,14.dat,Leather Vest,Mithra,Body,378
79242,Rom,52,14.dat,Leather Vest,Mithra,Body,379
79243,Rom,325,40.dat, Ravenous Breastplate,Mithra,Body,380
79244,Rom,325,41.dat, Wretched Coat,Mithra,Body,381
79245,Rom,325,42.dat, Foppish Tunica,Mithra,Body,382
79246,Rom,52,14.dat,Leather Vest,Mithra,Body,383
79247,Rom,327,54.dat, Tartarus platemail,Mithra,Body,384
79248,Rom,52,14.dat,Leather Vest,Mithra,Body,385
79249,Rom,52,14.dat,Leather Vest,Mithra,Body,386
79250,Rom,52,14.dat,Leather Vest,Mithra,Body,387
79251,Rom,52,14.dat,Leather Vest,Mithra,Body,388
79252,Rom,330,121.dat, Despair mail,Mithra,Body,389
79253,Rom,330,122.dat, Pursuer's doublet,Mithra,Body,390
79254,Rom,330,123.dat, Psycloth vest,Mithra,Body,391
79255,Rom,330,124.dat, Eschite breastplate,Mithra,Body,392
79256,Rom,330,125.dat, Rawhide vest,Mithra,Body,393
79257,Rom,330,126.dat, Naga samue,Mithra,Body,394
79258,Rom,330,127.dat, Vanya robe,Mithra,Body,395
79259,Rom,331,0.dat, Behemoth suit,Mithra,Body,396
79260,Rom,331,1.dat, Poroggo coat,Mithra,Body,397
79261,Rom,334,106.dat, Vrikodara jupon,Mithra,Body,398
79262,Rom,334,107.dat, Lapidary tunic,Mithra,Body,399
79263,Rom,336,88.dat, Jumalik mail,Mithra,Body,400
79264,Rom,336,89.dat, Samnuha coat,Mithra,Body,401
79265,Rom,52,14.dat,Leather Vest,Mithra,Body,402
79266,Rom,52,14.dat,Leather Vest,Mithra,Body,403
79267,Rom,52,14.dat,Leather Vest,Mithra,Body,404
79268,Rom,335,14.dat, Cossie top,Mithra,Body,405
79269,Rom,335,29.dat, Chozoron coselete,Mithra,Body,406
79270,Rom,52,14.dat,Leather Vest,Mithra,Body,407
79271,Rom,336,90.dat, Starlet jabot,Mithra,Body,408
79272,Rom,339,14.dat, Terminal plate,Mithra,Body,409
